Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,126.68344116210938,143301900
2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,128.24972534179688,97664900
2021-01-06,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,123.93266296386719,155088000
2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,128.16163635253906,109578200
2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,129.26779174804688,105158200
2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906,126.26248931884766,100384500
2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578,126.0862808227539,91951100
2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,128.13226318359375,88636800
2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938,126.19398498535156,90221800
2021-01-15,128.77999877929688,130.22000122070312,127.0,127.13999938964844,124.46126556396484,111598500
2021-01-19,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,125.13672637939453,90757300
2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,129.24822998046875,104319500
2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,133.9862823486328,120150900
2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,136.1399383544922,114459400
2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,139.90878295898438,157611700
2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,140.1437225341797,98390600
2021-01-27,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,139.06692504882812,140843800
2021-01-28,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,134.20159912109375,142621100
2021-01-29,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,129.17971801757812,177523800
2021-02-01,133.75,135.3800048828125,130.92999267578125,134.13999938964844,131.31378173828125,106239800
2021-02-02,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,132.14590454101562,83305400
2021-02-03,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,131.1179962158203,89880900
2021-02-04,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,134.4953155517578,84183100
2021-02-05,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,134.07864379882812,75693800
2021-02-08,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,134.2256622314453,71297200
2021-02-09,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,133.34335327148438,76774200
2021-02-10,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,132.73548889160156,73046600
2021-02-11,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,132.48060607910156,64280000
2021-02-12,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,132.7158660888672,60145100
2021-02-16,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,130.57864379882812,80576300
2021-02-17,131.25,132.22000122070312,129.47000122070312,130.83999633789062,128.2747039794922,97918500
2021-02-18,129.1999969482422,130.0,127.41000366210938,129.7100067138672,127.1668701171875,96856700
2021-02-19,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,127.32369995117188,87668800
